,TEAM_ID,X,Y,SHOT_MADE_FLAG,Distance,zones,zones2
2480,1610612755,1.1,0.4,1,1.1704699910719625,2PT,2PT
2483,1610612755,16.4,18.9,0,25.023389059038344,NC3,NC3
2484,1610612755,16.9,18.8,1,25.279438284898657,NC3,NC3
2486,1610612755,13.8,37.5,0,39.958603579204315,NC3,NC3
2488,1610612755,5.9,25.9,1,26.56350880437296,NC3,NC3
2490,1610612755,1.3,6.4,0,6.5306967469022785,2PT,2PT
2492,1610612755,3.0,4.3,0,5.243090691567332,2PT,2PT
2494,1610612755,13.4,25.3,0,28.629530209208813,NC3,NC3
2496,1610612755,2.8,2.3,0,3.6235341863986874,2PT,2PT
2497,1610612755,0.8,8.3,0,8.338465086573189,2PT,2PT
2499,1610612755,10.7,23.6,1,25.91235226682441,NC3,NC3
2502,1610612755,6.5,17.0,0,18.200274723201296,2PT,2PT
2504,1610612755,23.0,3.6,1,23.280034364235807,C3,C3
2506,1610612755,9.2,7.1,1,11.621101496846157,2PT,2PT
2510,1610612755,23.2,7.3,0,24.321389762922678,NC3,NC3
2512,1610612755,13.0,23.6,0,26.943644890771555,NC3,NC3
2514,1610612755,4.1,1.7,1,4.43846820423443,2PT,2PT
2517,1610612755,0.8,0.0,1,0.8,2PT,2PT
2519,1610612755,9.5,10.9,1,14.458907289280196,2PT,2PT
2521,1610612755,1.1,2.5,1,2.7313000567495327,2PT,2PT
2523,1610612755,0.3,0.7,1,0.7615773105863908,2PT,2PT
2525,1610612755,5.2,27.9,0,28.38045101826255,NC3,NC3
2528,1610612755,0.3,20.2,1,20.202227599945505,2PT,2PT
2529,1610612755,1.1,19.9,0,19.930378822290354,2PT,2PT
